title,salary,location,exp,description,requirement,benefit,working_location,working_time,company_name,company_emp,company_address,company_logo
Lập Trình Viên Backend Developer - BE,Tới 30 triệu,Hà Nội,3 năm,"-	 Tối ưu hóa hiệu suất xử lý sản phẩm, dịch vụ hiện đang có,  để cải tiến sản phẩm, dịch vụ

-	 Phát triển mới các ứng dụng, sản phẩm, dịch vụ.

-	 Kiểm tra mã, khắc phục các lỗi trong lập trình;

-	 Làm việc nhóm tạo ra các ứng dụng, phần mềm lớn hơn, phối hợp với SA, BA, Tester trong quá trình làm việc

-	 Thu thập các phản hồi để cải tiến sản phẩm","- Tốt nghiệp đại học chuyên ngành Công nghệ thông tin

-	Có kinh nghiệm từ 03 năm trở lên.

-	Có tinh thần trách nhiệm cao trong công việc.

-	Có tinh thần học hỏi, năng động, làm việc nhóm hoặc độc lập.

-	Có kỹ năng tư duy logic, tư duy thuật toán tốt, có kỹ năng phân tích, giải quyết vấn đề 

-	Có từ 03 năm kinh nghiệm vị trí dev.

-	Có kinh nghiệm làm việc trong các dự án product và mô hình Agile Scrum.

-	Sử dụng thành thạo nền tảng .NET để lập trình các giải pháp phần mềm, ứng dụng

-	Thành thạo lập trình ASP.NET, NET CORE 6/7/8 , C#, ABP framework C#

 - Nắm chắc kiến thức về RESTful service/Web API

 -  Có kinh nghiệm về database (NoSQL, SQL), redis, kafka 

Giới tính, độ tuổi.	Không giới hạn","- Lương lên thỏa thuận theo năng lực có thể lên đến hơn 30 triệu

-	 Thưởng lương tháng 13, thưởng lễ tết theo quy định và kết quả kinh doanh của Công ty.

- Làm việc Từ thứ hai đến thứ 6
Sáng : từ 08h00 đến 12h00

Chiều : Từ 13h00 đến 17h00

-	Nghỉ các ngày Lễ, Tết theo quy định của pháp luật

-	BHXH,BHYT,BHTN theo quy định của pháp luật

-	Bảo hiểm tai nạn và sức khỏe PTI

-	Du lịch/ Teambuilding 01 lần/năm","- Hà Nội: 103-105 Nguyễn Tuân, Thanh Xuân",Thứ 2 - Thứ 6 (từ 08:00 đến 17:00),CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ CÔNG NGHỆ GTSC VIỆT NAM,100-499 nhân viên,"103-105 Nguyễn Tuân, Thanh Xuân, Hà Nội",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-thuong-mai-va-dich-vu-cong-nghe-gtsc-viet-nam-97238bb94879e2dd1ffe83e2914a5423-64e6dc02aafe2.jpg
Trưởng Nhóm Lập Trình/ Developer Leader Yêu Cầu 4 Năm Kinh Nghiệm (Thu Nhập Lên Tới 45 Triệu/ Tháng) Làm Việc Tại Hà Nội,Tới 45 triệu,Hà Nội,4 năm,"- Quản lý đội ngũ phát triển phần mềm: Lãnh đạo và hướng dẫn các lập trình viên trong nhóm, đảm bảo tiến độ và chất lượng công việc.

- Thiết kế và phát triển phần mềm: Tham gia nghiên cứu, phát triển, nâng cấp các sản phẩm phần mềm Geosis, số hóa dịch vụ công, ... với vai trò Team Leader
- Thiết kế kiến trúc hệ thống, Database, phát triển các chức năng đồng thời support các thành viên trong team
- Làm các công việc khác theo sự phân công của quản lý.","-    Có kinh nghiệm lập trình Fullstack (.NET-ReactJS) từ 4 năm trở lên;

- Thành thạo .NET MVC, .Net Core, SQL Server, Postgresql Server, Javascript/Jquery, HTML/CSS;

-   Có khả năng phân tích thiết kế hệ thống và kiến thức về Design Pattern, OOP...;

-   Có kinh nghiệm làm việc với MongoDB, Redis Cache, Rabbit MQ, SignalR;

-   Có kiến thức về bảo mật và hiểu biết về Google Adwords API, Cache.","- Mức lương: Thỏa thuận theo năng lực, lên tới 45.000.000 VNĐ/ tháng;

- Hưởng đầy đủ các chế độ bảo hiểm theo luật của nhà nước;

- Chế độ nghỉ phép, nghỉ Lễ, Tết theo quy định của Nhà nước; các ngày nghỉ khác theo quy định riêng của Công ty (ngày thành lập Công ty, nghỉ mát...)

- Được đào tạo trực tiếp trong quá trình thực hiện Dự án, theo lộ trình phát triển riêng cho từng cá nhân, phù hợp với năng lực;","- Hà Nội: Số 139 đường Ngọc Hồi, phường Hoàng Liệt, quận Hoàng Mai, Hoàng Mai",Thứ 2 - Thứ 6 (từ 08:00 đến 17:00),Công ty TNHH VKX,100-499 nhân viên,"Số 139, Đường Ngọc Hồi, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-vkx-5a227ffab961c_rs.jpg
Kỹ Sư Lập Trình Phần Mềm/ Software Engineering (.NET) Yêu Cầu 2 Năm Kinh Nghiệm (Thu Nhập Lên Tới 25 Triệu/ Tháng) Làm Việc Tại Hà Nội,Tới 25 triệu,Hà Nội,2 năm,"- Tham gia nghiên cứu/phát triển/nâng cấp các sản phẩm/giải pháp chuyển đổi số của công ty, ...  

- Nghiên cứu và áp dụng các công nghệ mới vào dự án

- Các công việc khác theo sự phân công của Quản lý dự án.","- Tốt nghiệp chuyên ngành công nghệ thông tin, kỹ thuật phần mềm, ....
- Tối thiểu 2 năm kinh nghiệm phát triển trên nền tảng .NET Framework/.NET Core;
- Thành thạo ASP.NET, MVC, Web API, Entity Framework;
- Sử dụng thành thạo HTML, Javascript.","- Mức lương: Thỏa thuận theo năng lực, lên tới 25.000.000 VNĐ/ tháng;
- Hưởng đầy đủ các chế độ bảo hiểm theo luật của nhà nước;
- Chế độ nghỉ phép, nghỉ Lễ, Tết theo quy định của Nhà nước; các ngày nghỉ khác theo quy định riêng của Công ty (ngày thành lập Công ty, nghỉ mát...);
- Được đào tạo trực tiếp trong quá trình thực hiện Dự án, theo lộ trình phát triển riêng cho từng cá nhân, phù hợp với năng lực.","- Hà Nội: Số 139 đường Ngọc Hồi, phường Hoàng Liệt, quận Hoàng Mai, Hoàng Mai",Thứ 2 - Thứ 6 (từ 08:00 đến 17:00),Công ty TNHH VKX,100-499 nhân viên,"Số 139, Đường Ngọc Hồi, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-vkx-5a227ffab961c_rs.jpg
Java Backend Developer (Banking Project) - Offer Upto 30M,Thoả thuận,Hà Nội,2 năm,"Viết tài liệu thiết kế chi tiết, thiết kế CSDL
Thiết kế được các module thành phần, các chức năng chi tiết theo kiến trúc đã có sẵn
Tích hợp mã nguồn (merge code), tích hợp hệ thống
Thực hiện các nhiệm vụ sửa lỗi được phát hiện trong quá trình phát triển và triển khai
Lập trình các chức năng được giao theo tài liệu giải pháp chi tiết
Viết tài liệu Hướng dẫn cài đặt, vận hành, khai thác
Thực hiện upcode các yêu cầu nâng cấp của dự án
Viết và thực hiện unit test
Thực hiện các công việc khác theo yêu cầu của Manager","Ít nhất 2 năm kinh nghiệm với Java và Spring Boot
Kinh nghiệm thiết kế hệ thống back-end cho các dự án ngân hàng, đạt trình độ middle trở lên
Có kinh nghiệm làm việc với 
Angular
 là một lợi thế
Có kinh nghiệm lập trình webservice, microservice và tích hợp cơ sở dữ liệu
Kinh nghiệm làm việc với cơ sở dữ liệu Oracle và các cơ sở dữ liệu quan hệ khác. Ưu tiên nếu có kinh nghiệm với cơ sở dữ liệu NoSQL
Kinh nghiệm lập trình với 
Spring JPA
, 
Spring Kafka
, 
Spring Cloud OpenFeign
, 
Redis
, và sử dụng 
Jasper Report
Hiểu biết sâu về 
Java Core
 (Collections, Generics, Lambda, Stream API, v.v.)
Thành thạo 
Spring Framework
 (IoC Container, Bean lifecycle, AOP, v.v.) và 
Spring Boot
Kinh nghiệm xây dựng ứng dụng web với 
Spring MVC
, 
Spring Data
, 
Spring Security
Kinh nghiệm viết kiểm thử đơn vị với 
JUnit
 và 
Mockito
Sử dụng thành thạo các công cụ quản lý mã nguồn như 
Git
 hoặc 
SVN
Kinh nghiệm sử dụng các công cụ giám sát, đo lường và quản lý ứng dụng Spring Boot
Có khả năng lập trình và tích hợp các chức năng của hệ thống theo phân công","Bạn sẽ được:
Mức lương theo năng lực
Review lương theo lộ trình của công ty
Thưởng hiệu quả theo hiệu suất làm việc của quý - năm dựa theo kết quả hoạt động kinh doanh công ty
Được tư vấn, định hướng về career-path rõ ràng
Tham gia các chương trình đào tạo nội bộ nâng cao năng lực tại công ty
Có cơ hội tham gia lớp học tiếng Anh/ tiếng Nhật do công ty tổ chức
Môi trường làm việc cởi mở, trẻ trung, thân thiện, nhiều cơ hội thăng tiến trong công việc, cùng học hỏi với đồng nghiệp trẻ trung thân thiện
Thời gian làm việc: Thứ 2 - Thứ 6: 8h - 17h. Nghỉ trưa 12h-13h. (Tuỳ từng bank sẽ có lịch làm việc vào 2-3 thứ 7/tháng - trao đổi thêm)
Cùng với chế độ:
Hưởng đầy đủ các chế độ BHXH, BHYT, BHTN cho CBNV theo quy định của Pháp luật
Nhiều hoạt động được tổ chức trong năm: New Year Party, Company trip,...
Tham gia nhiều hoạt động tập thể sáng tạo, hoạt động thiện nguyện, các giải phong trào nội bộ,..
Có cơ hội training nội bộ nâng cao kỹ năng chuyên môn và kỹ năng mềm
Khám sức khỏe định kỳ 1 lần/ năm tại các bệnh viện quốc tế
12 ngày nghỉ phép nguyên lương/ năm và 1 ngày nghỉ phép trong tháng sinh nhật
Có cơ hội thi các chứng chỉ quốc tế do công ty tài trợ","- Hà Nội: Trần Quang Khải, Hoàn Kiếm",Thứ 2 - Thứ 6 (từ 08:00 đến 17:00),CÔNG TY CỔ PHẦN AHT TECH,100-499 nhân viên,"Tầng 8, Tòa nhà MITEC, Lô E2, Khu đô thị mới Cầu Giấy, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/IdP3l9VQ8hgPYmGXATH3pKBz9MONEMJc_1692355030____8b8c5bd7a5b73d9598f5b79ff59a5a76.png
Senior .NET Developer (3-8 Years Experience),Thoả thuận,Hà Nội,3 năm,"Tham gia nghiên cứu, thiết kế, xây dựng, phát triển và triển khai hệ thống Công nghệ Thông tin cho Tài chính, Ngân hàng.
Tham gia xây dựng ý tưởng, tham gia thiết kế sản phẩm, giải pháp.
Xây dựng tài liệu kỹ thuật sản phẩm, dự án.
Tham gia xây dựng tài liệu đào tạo, tham gia đào tạo và hỗ trợ người sử dụng.
Bảo trì, nâng cấp hệ thống cho sản phẩm, dự án.
Hợp tác với các bộ phận khác trong quá trình thực hiện dự án.
Tham gia cải tiến quy trình phát triển sản phẩm, dự án.
Các công việc phát sinh khác theo yêu cầu kỹ thuật dự án.
Báo cáo kết quả công việc, thời gian làm việc phù hợp với quy định Công ty","Chuyên ngành đào tạo:
 Tốt nghiệp Đại học chuyên ngành CNTT hoặc tương đương.
Kinh nghiệm làm việc: 
Từ 3 năm đến 8 năm kinh nghiệm xây dựng và phát triển dự án trong lĩnh vực CNTT. 
Đã tham gia xây dựng, phát triển, triển khai các giải pháp liên quan trong lĩnh vực CNTT cho ngành Tài chính, Ngân hàng là một lợi thế.
Kiến thức chuyên môn và kỹ thuật:
Kinh nghiệm thiết kế hệ thống, thiết kế cơ sở dữ liệu, Design Pattern.
Kinh nghiệm lập trình ứng dụng với .Net Framework, Java và các ngôn ngữ lập trình phổ dụng khác.
Kinh nghiệm làm việc với một trong các hệ thống CSDL như: Oracle, MS SQL Server, MySQL, PostgreSQL ...
Kinh nghiệm xây dựng các ứng dụng trên nền tảng Cloud Native / kiến trúc Microservice.
Kinh nghiệm triển khai các ứng dụng trên Docker container cho môi trường Windows & Linux
Kinh nghiệm và hiểu biết về các yêu cầu bảo mật trên môi trường Cloud.
Quen thuộc với Continuous Integration / Continuous Deployment.
Tiếng Anh giao tiếp, đọc hiểu tốt. 
Khả năng làm việc độc lập và chịu áp lực trong môi trường nhịp độ cao.
Kỹ năng phân tích, phản biện, tư duy logic và giải quyết vấn đề tốt.","Thu nhập: cạnh tranh với thị trường ở vị trí công việc.
Được cung cấp thiết bị phục vụ công việc theo chính sách của Công ty.
Đóng BHXH đầy đủ theo quy định nhà nước và Tham gia gói Bảo hiểm sức khỏe hàng năm theo chính sách công ty.
Thưởng các ngày lễ tết: Theo quy định chung của Công ty.
Chế độ tăng lương hấp dẫn: thù lao và thưởng cho nhân viên dựa trên hiệu suất làm việc và đóng góp cá nhân. Được xem xét ngay khi bạn là một nhân viên xuất sắc mà không cần chờ tới kỳ đánh giá định kỳ.
Môi trường làm việc trẻ trung, năng động, với cơ hội phát triển và thăng tiến cao.
Nghỉ phép: 12 ngày/ năm và phép thâm niên.
Chế độ du lịch: 1 năm /1 lần, chương trình Teambuilding được tổ chức thường niên.
Thời gian làm việc: Sáng:  8h30 - 12h00, Chiều: 13h30 - 18h00 (từ thứ 2 - sáng thứ 7).
Các chế độ khác: theo Luật Lao động Việt Nam – theo Nội quy lao động và Quy định tài chính của Công ty.","- Hà Nội: 74 Khúc Thừa Dụ, Dịch Vọng, Cầu Giấy",Thứ 2 - Thứ 6 (từ 08:30 đến 18:00),CÔNG TY TRÁCH NHIỆM HỮU HẠN GIẢI PHÁP CÔNG NGHỆ CỘNG,25-99 nhân viên,"Tầng 2, số 6 Ngõ 1002 đường Láng, phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội, Việt Nam.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-trach-nhiem-huu-han-giai-phap-cong-nghe-cong-f62832aad9db1bc4080c947d1ea230a8-6710e08f97038.jpg
"Back End Developer (Java, MySQL, Spring) - Tại Hà Nội - Thu Nhập Hấp Dẫn",Thoả thuận,Hà Nội,2 năm,"LG CNS đang tìm kiếm các lập trình viên Back-End đủ tiêu chuẩn tham gia vào các dự án phát triển của công ty. Bạn sẽ phát triển trong việc phát triển ứng dụng web trong các lĩnh vực khác nhau, chẳng hạn như: AI Machine learning / Data , Security & Solution, DX...

Đảm bảo hiệu suất, chất lượng và khả năng đáp ứng tốt nhất có thể của các ứng dụng ở phía Back-end

Tư vấn, phân tích, thiết kế

Phát triển, kiểm thử, sửa lỗi

Vận hành và bảo trì hệ thống.","Có ít nhất 3 năm kinh nghiệm về JAVA 
Có kinh nghiệm phát triển ứng dụng web
Phát triển dựa trên Spring, Spring Boot F/W
Phát triển API (REST API)
Sử dụng thành thạo 1 trong các ngôn ngữ DB như MySQL, MongoDB , Oracle , SQL
Git, Jira, Confluence
Hiểu và áp dụng CI/CD
Tốt nghiệp Đại Học trở lên
Giao tiếp Tiếng anh ở mức trung bình 
ƯU TIÊN
Có kinh nghiệm làm việc trong môi trường Kubernetes, Cloud (AWS, GCP) sử dụng Python
Có kinh nghiệm về tối ưu hóa SQL
Giao tiếp tiếng Hàn
Có khả năng xử lý lỗi vào ban đêm (Làm remote tại nhà).","Lương, thưởng sẽ được thảo luận sau khi thông qua CV & Phỏng vấn

Review đánh giá năng lực hàng năm và điều chỉnh tăng lương theo hiệu quả công việc

Phụ cấp chứng chỉ ngoại ngữ tiếng hàn (TOPIK)

Chăm sóc sức khỏe: Khám sức khỏe định kỳ hàng năm, Bảo hiểm sức khỏe cao cấp.

Điều kiện làm việc thoải, linh hoạt

Cơ hội phát triển nghề nghiệp tốt với các dự án thú vị và đầy thử thách

Các khóa đào tạo tiếng Anh, tiếng Hàn, kỹ thuật, kỹ năng mềm

Cơ hội học các khóa học đặc biệt của LG CNS, công nghệ mới và bảo mật

Quà tặng vào các dịp lễ, tết (30/4-1/5, 2/9, tết v.v)

Các hoạt động ngoài trời với sự hỗ trợ của công ty: câu lạc bộ thể thao, team building, tiệc happy hour, sinh nhật, du lịch, sự kiện nhân viên và gia đình, v.v.

Thời gian làm việc: 8 tiếng từ T2 - T6 (8:00- 12:00/ 13:00- 17:00), Happy hour chiều thứ 6 hàng tuần.","- Hà Nội: Tầng 15, Keangnam Landmark 72, Nam Từ Liêm",Thứ 2 - Thứ 6 (từ 08:00 đến 17:00),Công Ty TNHH LG CNS VIỆT NAM,100-499 nhân viên,"toà nhà Youngjin E&C Hải Phòng, Hồng Phong, An Dương, Hải Phòng, Việt Nam",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/TookgFfkXGVGSlPM3ZImR07Uz4UDNz5U_1681297674____f10a3ab84434a4d2e12e0e24b30090ba.png
Java Engineer ( Java Developer Java Fullstack Developer Java SE /Java EE),"1,000 - 3,500 USD",Hà Nội,1 năm,"• Tiếp nhận yêu cầu bài toán từ khách hàng, viết tài liệu phân tích yêu cầu, đặc tả yêu cầu, thiết kế chi tiết, thiết kế CSDL
• Lập trình các chức năng được giao theo tài liệu giải pháp chi tiết.
• Thực hiện các nhiệm vụ sửa lỗi được phát hiện trong quá trình phát triển và triển khai.
• Viết và thực hiện unit test.
• Thực hiện upcode các yêu cầu nâng cấp của dự án.
• Thiết kế được các module thành phần, các chức năng chi tiết theo kiến trúc đã có sẵn.
• Tích hợp mã nguồn (merge code), tích hợp hệ thống.
• Viết tài liệu Hướng dẫn cài đặt, vận hành, khai thác.
• Cài đặt, triển khai hệ thống
• Tối ưu hệ thống","· Tốt nghiệp Đại học bằng khá trở lên chuyên ngành CNTT, ĐTVT, Toán tin Ứng dụng
· Ít nhất 1 năm kinh nghiệm phát triển ứng dụng phần mềm bằng ngôn ngữ Java
· Có kiến thức tốt về lập trình và thiết kế hướng đối tượng (OOP), Design Patterns
· Có nền tảng cấu trúc dữ liệu và giải thuật tốt
· Có kiến thức tốt về quy trình phát triển phần mềm
· Thành thạo một trong các công nghệ: Webservices (SOAP/RESTful), Websocket, Hibernate, JPA, HTML5/CSS3, Spring MVC, Struts
· Thành thạo một trong các hệ quản trị CSDL quan hệ: Oralce, MySQL, SQL Server
· Có kỹ năng làm việc độc lập và làm việc theo nhóm tốt
· Có kỹ năng giải quyết vấn đề tốt
· Khả năng chịu áp lực cao
· Năng động, sáng tạo, có khả năng tự nghiên cứu
· Ưu tiên ứng viên có chứng chỉ quốc tế của Oracle về phát triển ứng dụng Java: Java SE, Java EE
• Toeic 550 trở lên hoặc tương đương","● 12 ngày phép hàng năm theo Luật Lao Động và 3 ngày nghỉ mát, nghỉ ngày lễ 22/12

● Bảo hiểm sức khỏe và tai nạn cá nhân của MIC (Hạn mức chi trả lên đến 600 triệu/năm)

● Review lương định kì vào tháng 3 hàng năm

● Khám sức khỏe định kì hàng năm

● Giải thưởng ghi nhận năng lực, các đóng góp nổi bật kịp thời:

 + Giải thưởng Nhân viên Xuất sắc tháng trị giá 02 triệu VNĐ

 + Giải thưởng Nhân viên Xuất sắc năm trị giá từ 02-10 triệu VNĐ

Đào tạo và phát triển:

● Hỗ trợ từ 50-100% chi phí dự thi các chứng chỉ và khen thưởng theo cấp độ chứng chỉ lên đến 05 triệu đồng : Hỗ trợ thi chứng chỉ Quốc tế

● Giải thưởng bug bounty hàng quý, giá trị giải thưởng lên đến 70 triệu

● Giải thưởng sáng kiến, ý tưởng (được ghi nhận) trị giá từ 01 triệu đồng đến hàng trăm triệu đồng

Môi trường và Văn hóa:

● Làm việc tại văn phòng Hạng A - tòa Landmark 72 với tổ hợp không gian xanh và khu vực riêng dành cho Tập Gym, giải trí (chơi Bi-a, Pes, Café, Đọc sách)

● Thư giãn 30 phút mỗi ngày với hoạt động Happy hours (16h-16h30)

● 02 phần quà Tết gửi tặng gia đình, người thân

● Tham gia các event Công ty: hoạt động Teambuilding hàng quý, Sinh nhật hàng tháng, Year End Party, nghỉ mát, ngày lễ 08/03, 20/10 (các chị em được nghỉ 1⁄2 ngày), ngày sinh nhật tập đoàn 01/06, ...

● Tổ chức sinh nhật cá nhân: Phần quà và bánh sinh nhật từ phía Công ty

● Các hoạt động thể thao: câu lạc bộ Bóng đá, Bi-a ....","- Hà Nội: Số 1 Giang Văn Minh, Ba Đình",,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,5000+ nhân viên,"Lô D26 khu đô thị mới Cầu Giấy, phường Yên Hoà, quận Cầu Giấy, thành phố Hà Nội, Việt Nam.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/vnksUvAUJEzIxB7un4tTZrQ0cNWK6MAt_1719996933____3c701bdf079634d0e15cebed0655ae9d.png
Java Dev (3+ Yr Exp) Sign-On Bonus,Thoả thuận,Hà Nội,3 năm,"1. General Description

You will be a part of an international development team developing tomorrow’s web applications.

Building an ecosystem around ERP

Building IoT software that allows control and monitoring of all types of devices and physical, virtual, and network management...

Analyze issues with various tools and knowledge and find the right solutions

2. Essential Duties and Responsibilities

Deliver products with high responsibility, availability, scalability, security, and maintainability

Collaborate proactively with Korean tech team and stockholders to develop applications.

Translate business requirements into high-quality, well-tested, clean, simple, and maintainable code.

Resolve any technical issues, risks, and challenges, escalating as necessary and providing solutions.

Ensure that developed applications are well documented, tested, easy to maintain, and meet industry standards","3.1. Qualifications

Bachelor’s degree in Information Technology, Software, or equivalent.
3.2. Work Experience

Have 3 - 5 years  of software development experience

Strong hands-on experience with Spring Framework/Tomcat

Experience with relational databases (Oracle/MySQL)

Knowledge of UI/UX development using  HTML5, CSS3, and JavaScript.

Good knowledge of object-oriented concepts, programming, methods, and design patterns.

Participating in all works in the software development process, including requirements inquiry, analysis, design, and research of new technology ...

Solving issues, executing work according to plan, report work progress for direct management (PM)

Good problem-solving, organizational and time-management skills

OpenApi and RestApi integration (SAP integration) would be an added advantage.

Experiences working on Containers (Docker) and DevOps technology on On-premise and Cloud (AWS, Oracle) will be an added advantage.



3.3. Knowledge

[Essential] Know how to write clean, efficient, reusable code

[Essential] Process of Code Versioning (GIT)

[Preference] Have a strong interest and basic understanding of AI tools such as ChatGPT & Copilot

[Preference] Understanding of software development process and design.

[Preference] Knowledge of Agile Scrum development process is a plus

3.4.  Skills and attitude

Good Written English skill, Verbal English Communication is a big plus       

Good problem-solving skills, thorough, sincere, responsible, understanding mindset

Logical thinking required as an engineer.

Experience working independently and as part of a team. Active communication internally and externally","Benefits

Salary will be negotiated depending on your competency

Competitive compensation package (Basic salary, Monthly Allowance, Performance incentive, Profit Sharing) -  Up to 15 -16 monthly salary/year

Attractive benefits (SHUI Insurance, PTI Premium Health Care Insurance fully sponsored for both you and your family)

Team-building Support Bonus quarterly

100% official salary during the probation period, annual salary raise

Extra bonus per special occasions (Birthday, Labor Day, National Day, Solar New Year, Lunar New Year)

Annual company outing trip/travel benefit

2. Working environment:

5 working days/week with flexible working time and no overtime

Chance to go on a business trip overseas

English working environment: You will have chance to practice English in both 4 skills.

Internal English Class fully sponsored by Company

Professional, creative, comfortable, and flexible working environment

Young and talented colleagues with nice and supportive leader

Chance to develop a career with a clear and motivated performance management system

Common cultural-sportive Clubs and activities, sponsored and/or supported by the Company",- Hà Nội,,"MARUSYS VINA CO.,LTD",nhân viên,"Handico Tower, Pham Hung street, Nam Tu Liem, Ha Noi",https://www.topcv.vn/v4/image/normal-company/logo_default.png
Chuyên Viên Phát Triển Ứng Dụng (Lập Trình Viên Developer – DEV ),Thoả thuận,Hà Nội,3 năm,"-	Phát triển, bảo trì các chức năng, sản phẩm dịch vụ, các báo cáo tác nghiệp và quản lý liên quan đến hệ thống Core banking, hệ thống tích hợp với đối tác bên ngoài được phân công.

-	Lập trình ứng dụng mobile, java, .net, docker, K8S, database; Lập trình AI ngôn ngữ python trên các hệ thống:

-	Hê thống quản lý quy trình kinh doanh (BPM).

-	Ngân hàng số (Edigi/Ebiz).

-	Lập trình RPA, OCR.

-	Tối ưu hóa hệ thống ứng dụng theo yêu cầu.

-	Tổ chức quản lý và triển khai các dự án và dịch vụ thuê ngoài mảng CNTT được phân công.

-	Thực hiện các công việc khác theo sự phân công của quản lý trực tiếp/ lãnh đạo đơn vị.","-	Độ tuổi: 25 – 35 

-	Giới tính: Nam/Nữ

-	Tốt nghiệp đại học trở lên các chuyên ngành liên quan CNTT. 

-	Tối thiểu 03 năm trong lĩnh vực lập trình ứng dụng CNTT.

-	Có kiến thức về lập trình, hiểu biết chuyên sâu về cơ sở dữ liệu đặc biệt là Oracle, kỹ năng viết tốt SQL/PLSQL, ngôn ngữ lập trình C, C#, Java, Python, hiểu biết về các framework ngân hàng đang sử dụng. 

-	Hiểu biết tốt về nghiệp vụ ngân hàng liên quan đến phân hệ phụ trách. 

-	Khả năng lập trình, phân tích, thiết kế hệ thống đối với việc phát triển sản phẩm mới trên hệ thống mình phụ trách. 

-	Kinh nghiệm ưu tiên: có kinh nghiệm về triển khai các Dự án CNTT

-	Có khả năng giao tiếp (nói, viết) bằng tiếng Anh ở cấp độ tương đối thành thạo và đọc hiểu được các tài liệu chuyên môn có liên quan (tương đương IELTS 5.0, TOEIC 450, ...) hoặc có chứng chỉ nghề nghiệp chuyên sâu có liên quan công việc, được sử dụng phổ biến trên thị trường/ được quốc tế công nhận.","-	Mức lương: Mức lương cạnh tranh theo năng lực

-	Thời gian làm việc: 

-	Khối Back office: 8h30-17h30 từ Thứ 2 đến Thứ 6, nghỉ Thứ 7, Chủ nhật, lễ Tết.

-	Khối kinh doanh: linh hoạt theo tính chất công việc

-	Làm việc trong môi trường năng động, chuyên nghiệp với nhiều dự án triển khai, có nhiều cơ hội thăng tiến.

-	Hưởng đầy đủ quyền lợi theo Luật Lao động

-	Khám sức khỏe định kì cho CBNV hàng năm.

-	Thưởng Lễ Tết: Tháng lương 13 + Thưởng Theo kết quả kinh doanh của Công ty.","- Hà Nội: Tầng 4, 37 Bà Triệu, Hàng Bài, Hoàn Kiếm",,CÔNG TY CỔ PHẦN CÔNG NGHỆ EC,25-99 nhân viên,"353 Nguyễn Trọng Tuyển, Phường 1, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-cong-nghe-ec-61ac8ace568dd6c296562abb905f238d-67175f1bbefd5.jpg
Middle/Senior Front-End Developer - Remote,Thoả thuận,Cần Thơ & 2 nơi khác,3 năm,"Job Description:

- We are looking for a talented Front-End Developer to join our dynamic team. As a front-end developer, you will be responsible for implementing visual elements that users see and interact with in a web application. You will collaborate closely with designers, back-end developers, and the product team to deliver high-quality and user-friendly web applications.

Key Responsibilities:

Develop new user-facing features with clean, efficient, and reusable code.

Ensure the technical feasibility of UI/UX designs and collaborate with designers to deliver seamless user experiences.

Optimize applications for maximum speed and scalability.

Collaborate with other team members, including back-end developers and stakeholders.

Troubleshoot and debug to ensure optimal functionality across different browsers and platforms.

Stay up-to-date with the latest industry trends and technologies.","Proven experience as a Front-End Developer (at least 3 years of experience).

Proficiency in HTML5, CSS3, JavaScript, and front-end frameworks such as React, Angular

Familiarity with responsive design and cross-browser compatibility.

Experience with version control systems (e.g., Git).

Familiarity with RESTful APIs and working with back-end services.

Basic understanding of SEO principles.

Knowledge of build tools such as Webpack, NPM, etc.

Strong problem-solving skills and attention to detail.

Excellent communication and teamwork skills.

Degree in Computer Science, Web Development, or a related field (preferred).","Competitive salary based on experience.

 Opportunity for professional growth and continuous learning.

 Friendly and collaborative work environment.

 Health insurance, etc...","- Cần Thơ: D3 đường A6 KDC Hưng Phú 1, Cái Răng",,CÔNG TY TNHH CÔNG NGHỆ STARTECH AI,25-99 nhân viên,D3 đường A6 KDC Hưng Phú 1 quận Cái Răng. Tp Cần Thơ,https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/WEqgcCmJcUbwReTQRBfXOBtQ8VykG9u7_1701250802____85020b25576c9492f182c0475929cc61.png
